Date,FCR-N Pris (EUR/MW),FCR-D upp Pris (EUR/MW),FCR-D ned Pris (EUR/MW),aFRR Upp Pris (EUR/MW),aFRR Ned Pris (EUR/MW),mFRR Upp Pris (EUR/MW),mFRR Ned Pris (EUR/MW),mFRR Upp EAM Pris (EUR/MW),mFRR Ned EAM Pris (EUR/MW),,SPOT_SE3,Hydro (GWh),SE_Avg,month,year,day,,,,FCR-N,FCR-D upp Pris (EUR/MW),FCR-D ned Pris (EUR/MW),SPOT,SPOT_avg,aFRR up,aFRR down,mFRR up,mFRR down,Hydro,,,FCR-N Pris (EUR/MW),FCR-D upp Pris (EUR/MW),FCR-D ned Pris (EUR/MW),SPOT
01/01/2023 00:00,225.71,66.27,504.79,0,0,0,0,0,0,,2.01,2.8,2.01,1,2023,1,,1,2023,52.81,42.43,41.18,93.34,75.44,0,15.61,0,0,8.16,,1,132.81,57.54,336.82,17.5
01/01/2023 01:00,228.71,64.63,494.06,0,0,0,0,0,0,,1.38,2.52,1.38,1,2023,1,,2,2023,34.6,25.73,18.82,91.75,64.58,0,4.54,0,0,8.55,,2,54.22,48.28,44.2,119.8
01/01/2023 02:00,228.58,64.51,494.13,0,0,0,0,0,0,,0.09,2.47,0.09,1,2023,1,,3,2023,43.08,32.48,19.59,81.74,63.5,0,2.57,0,0,8.79,,3,49.73,45.14,26.93,133.77
01/01/2023 03:00,226.43,59.97,294.11,0,0,0,0,0,0,,0.08,2.38,0.08,1,2023,1,,4,2023,51.27,52.71,66.88,65.15,60.74,0,1.79,0,0,7.59,,4,49.62,42.87,25.94,76.02
01/01/2023 04:00,223.81,60.02,349.63,0,0,0,0,0,0,,0.05,2.49,0.05,1,2023,1,,5,2023,95.13,71.77,101.08,64.72,37.07,0,18.88,0,0,6.71,,5,48.73,42.69,28.83,107.93
01/01/2023 05:00,226.77,60.16,256.48,0,0,0,0,0,0,,0.08,2.57,0.08,1,2023,1,,6,2023,103.88,48.6,131.31,88.6,55.62,1.05,42.76,0,0,5.46,,6,48.8,43.66,25.16,108.27
01/01/2023 06:00,193.59,72.81,258.28,0,0,0,0,0,0,,0.09,2.72,0.09,1,2023,1,,7,2023,125.88,34.03,197.08,35.66,32.94,6,44.77,0,0,5.07,,7,49.04,41.48,39.47,77.27
01/01/2023 07:00,194.38,72.72,258.06,0,0,0,0,0,0,,0.53,2.82,0.53,1,2023,1,,8,2023,93.76,46.5,123.78,41.77,28.26,0,7.55,0,0,7.33,,8,165.6,44.8,77.86,38.16
01/01/2023 08:00,134.37,86.64,249,0,0,0,0,0,0,,2.03,2.83,2.03,1,2023,1,,9,2023,64.73,27.56,66.25,43.16,20.46,14.52,9.82,0,0,6.03,,9,50.88,43.27,32.1,120.82
01/01/2023 09:00,131.07,71.03,498.1,0,0,0,0,0,0,,3.1,2.84,3.1,1,2023,1,,10,2023,36.04,16.26,31.89,30.79,22.28,0,7.64,6.37,1.5,7.94,,10,47.32,43.37,24.7,118.5
01/01/2023 10:00,131.06,70.98,499.15,0,0,0,0,0,0,,4.43,2.91,4.43,1,2023,1,,11,2023,31.27,21.86,13.61,73.55,62.61,0.85,2.83,18.64,3.71,9.46,,11,47.22,45.92,42.18,62.56
